"","sub","item","cond","seq","trialStart","trialEnd","sound","sound_type","regionS","regionE","regionN1","tBnd","tSFIX","ISI","nextFlag","delBnd","delFix","prevFix","nextFix","prevGood","onTarget","inRegion","hook","blink"
"70",1,15,1,14,2779119,2782813,5,NA,961,1059,1920,2781494,2781509,444,"ESACC",1,-1,843.7,1019.1,"Yes","Yes","Yes","No","No"
"71",1,22,1,15,2786417,2789281,1,NA,205,359,415,2786789,2786800,NA,"ESACC",1,3,129.8,240.2,"Yes","Yes","Yes","No","No"
"72",1,22,1,15,2786417,2789281,2,NA,415,513,611,2787054,2787073,265,"ESACC",1,-5,240.2,397.9,"Yes","No","No","Yes","No"
"73",1,22,1,15,2786417,2789281,3,NA,611,723,765,2787714,2787742,660,"ESACC",1,-14,547.1,723.5,"Yes","No","Yes","No","No"
"74",1,22,1,15,2786417,2789281,4,NA,765,891,933,2787727,2787742,13,"ESACC",NA,-1,547.1,723.5,"Yes","No","No","Yes","No"
"75",1,22,1,15,2786417,2789281,5,NA,933,1031,1920,2788576,2788590,849,"ESACC",1,0,876,1009.9,"Yes","Yes","Yes","No","No"
"76",1,24,1,16,2791335,2796578,1,NA,219,331,415,2791758,2791770,NA,"ESACC",1,2,143.4,242.2,"Yes","Yes","Yes","No","No"
"77",1,24,1,16,2791335,2796578,2,NA,415,513,695,2792161,2792185,403,"ESACC",1,-10,188.6,409.4,"Yes","No","No","Yes","No"
"78",1,24,1,16,2791335,2796578,3,NA,695,835,919,2793728,2793755,1567,"ESACC",1,-13,422,746.8,"Yes","Yes","Yes","No","No"
"79",1,24,1,16,2791335,2796578,4,NA,919,1003,1143,2794361,2794374,633,"ESACC",1,1,879.3,996.7,"Yes","Yes","Yes","No","No"
"80",1,24,1,16,2791335,2796578,5,NA,1143,1255,1920,2795273,2795287,912,"ESACC",1,0,1071.4,1210.4,"Yes","Yes","Yes","No","No"
"81",1,31,1,17,2799234,2802705,1,NA,247,345,387,2799643,2799663,NA,"ESACC",2,-6,162.4,273.8,"Yes","Yes","Yes","No","No"
"82",1,31,1,17,2799234,2802705,2,NA,387,471,555,2799951,2799961,308,"ESACC",1,4,273.8,428.1,"Yes","Yes","Yes","No","No"
"83",1,31,1,17,2799234,2802705,3,NA,555,681,737,2800628,2800644,677,"ESACC",1,-2,489.7,595.3,"Yes","Yes","Yes","No","No"
"84",1,31,1,17,2799234,2802705,4,NA,737,863,1031,2800919,2800923,291,"ESACC",2,10,595.3,711.8,"Yes","No","No","Yes","No"
"85",1,31,1,17,2799234,2802705,5,NA,1031,1115,1920,2801921,2801930,1002,"ESACC",2,5,958.6,1077,"Yes","Yes","Yes","No","No"
"86",1,10,1,18,2805321,2808017,1,NA,205,331,457,2805571,2801930,NA,"ESACC",NA,3655,105.5,230.6,"Yes","Yes","Yes","No","No"
"87",1,10,1,18,2805321,2808017,2,NA,457,597,639,2806153,2806168,582,"ESACC",1,-1,379.5,541.4,"Yes","Yes","Yes","No","No"
"88",1,10,1,18,2805321,2808017,3,NA,639,709,765,2806578,2806600,425,"ESACC",1,-8,516.2,654.7,"Yes","Yes","Yes","No","No"
"89",1,10,1,18,2805321,2808017,4,NA,765,835,919,2806792,2806809,214,"ESACC",1,-3,654.7,865.1,"Yes","No","Yes","No","No"
"90",1,10,1,18,2805321,2808017,5,NA,919,1017,1920,2807260,2807281,468,"ESACC",1,-7,865.1,1108.8,"Yes","No","Yes","No","No"
"91",1,6,1,19,2813373,2817509,1,NA,205,317,373,2813799,2813813,NA,"ESACC",2,0,164.9,244.5,"Yes","Yes","Yes","No","No"
"92",1,6,1,19,2813373,2817509,2,NA,373,471,541,2814069,2814093,270,"ESACC",1,-10,244.5,423.4,"Yes","Yes","Yes","No","No"
"93",1,6,1,19,2813373,2817509,3,NA,541,681,737,2814876,2814900,807,"ESACC",1,-10,488,585,"Yes","Yes","Yes","No","No"
"94",1,6,1,19,2813373,2817509,4,NA,737,877,961,2815154,2815165,278,"ESACC",1,3,585,754.1,"Yes","Yes","Yes","No","No"
"95",1,6,1,19,2813373,2817509,5,NA,961,1073,1920,2815959,2815972,805,"ESACC",1,1,911.8,1012,"Yes","Yes","Yes","No","No"
"96",1,40,1,20,2821865,2825397,1,NA,219,289,345,2822128,2815972,NA,"ESACC",NA,6170,63.6,141.9,"Yes","No","No","Yes","No"
"97",1,40,1,20,2821865,2825397,2,NA,345,471,513,2822128,2815972,0,"ESACC",NA,6170,63.6,141.9,"Yes","No","No","Yes","No"
