item	word	Critical_word	Len	Zipf	 DomPoS	 FreqCount	 BNC_freq	Freq_mil
70	9	house	5	5.83	 noun	135288	50926	672.0
70	11	during	6	5.18	 preposition	30343	44013	150.7
71	5	tenth	5	3.66	 noun	912	1139	4.5
71	7	anniversary	11	4.2	 noun	3190	2057	15.8
71	9	visiting	8	4.3	 verb	3980	3000	19.8
71	11	place	5	5.78	 noun	121307	48651	602.5
72	5	promised	8	4.58	 verb	7656	4300	38.0
72	7	create	6	4.95	 verb	18072	8181	89.8
72	9	jobs	4	5.16	 noun	28797	9701	143.0
72	11	attract	7	4.26	 verb	3644	2545	18.1
73	5	raise	5	4.85	 verb	14398	6225	71.5
73	7	money	5	5.84	 noun	138993	37367	690.4
73	9	improving	9	4.2	 verb	3178	2591	15.8
73	11	facilities	10	4.19	 noun	3091	7516	15.4
74	5	ambitions	9	3.89	 noun	1567	1006	7.8
74	7	expand	6	4.01	 verb	2068	1771	10.3
74	9	operation	9	4.79	 noun	12565	10053	62.4
74	11	nearby	6	4.25	 adjective	3548	3580	17.6
75	5	foster	6	4.25	 name	3584	1855	17.8
75	7	awareness	9	3.95	 noun	1801	3564	8.9
75	9	friendship	10	4.05	 noun	2264	2026	11.2
75	11	people	6	6.35	 noun	448926	124158	2229.7
76	5	investments	11	3.78	 noun	1225	1524	6.1
76	7	foreign	7	4.76	 adjective	11560	16234	57.4
76	9	interested	10	4.93	 adjective	17267	9032	85.8
76	11	expanding	9	3.84	 verb	1381	1536	6.9
77	5	tired	5	4.64	 adjective	8859	4121	44.0
77	7	seeing	6	5.12	 verb	26852	6490	133.4
77	9	children	8	5.53	 noun	68015	46608	337.8
77	11	pranks	6	3.17	 noun	295	40	1.5
78	5	forested	8	2.46	 verb	57	83	0.3
78	7	offer	5	4.97	 verb	18815	15873	93.5
78	9	protection	10	4.46	 noun	5826	8047	28.9
78	11	wild	4	4.96	 adjective	18185	5529	90.3
79	5	many	4	5.87	 adjective	149674	89660	743.4
79	7	despite	7	4.9	 preposition	16171	14592	80.3
79	9	water	5	5.53	 noun	68324	35078	339.4
79	11	systems	7	4.32	 noun	4234	17276	21.0
80	5	forced	6	4.64	 verb	8770	8114	43.6
80	7	businesses	10	4.74	 noun	11187	3669	55.6
80	9	town	4	5.24	 noun	34678	18306	172.2
